iter	Passed	Remaining
0	1	151
1	2	132
2	3	123
3	4	113
4	5	111
5	6	109
6	8	107
7	9	106
8	10	104
9	11	103
10	12	102
11	13	101
12	14	99
13	16	98
14	17	97
15	18	96
16	19	95
17	20	94
18	21	92
19	22	91
20	23	90
21	25	88
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	80
29	34	80
30	35	79
31	36	77
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	42	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	61
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	77	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	88	20
81	89	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
